variable,field_type,validation,identifier
stroop_item_time_2,text,,
stroop_item_time_3,text,,
stroop_item_time_4,text,,
stroop_item_time_5,text,,
stroop_item_time_6,text,,
stroop_item_time_7,text,,
stroop_item_time_8,text,,
stroop_item_time_9,text,,
stroop_language,radio,,
stroop_origin,radio,,
stroop_recording_acoustic_task_id,text,,
stroop_session_id,text,,
stroop_started_at,text,,y
stroop_via,radio,,
stutter_dysfluency,radio,,
substance_use_recovery,yesno,,
super_alert,radio,,
supplemental_oxygen,radio,,
surgery,checkbox,,
swallowing_disorder,checkbox,,
symptoms,checkbox,,
talk_therapy_mental_health_prof,checkbox,,
talking_too_much,radio,,
tell_us_about_you_health_header,descriptive,,
things_in_order,radio,,
thinking_stressful_event,radio,,
thoughts_death,radio,,
throat_med_history,checkbox,,
throat_surgical,checkbox,,
thyroid_cancer,checkbox,,
thyroid_disease,checkbox,,
thyroid_replacement,radio,,
times_use_nicotine_per_day,radio,,
tired,radio,,
tired_measure,radio,,
today_consume_caffeinated_products,checkbox,,
today_consume_other_specify,text,,
today_drink_caffeinated_products,radio,,
tone_deaf,radio,,
tonsillectomy,radio,,
tough_to_understand,radio,,
tough_to_work,radio,,
tracheostomy,radio,,
transportation,radio,,
transportation_yn,yesno,,
traumatic_brain_injury,radio,,
traumatic_event,notes,,
traumatic_event_date,text,date_ymd,
trouble_concentrate,radio,,
trouble_relaxing,radio,,
trouble_sleeping,radio,,
tuberculosis,radio,,
typical_day_consume_caffeinated_products,checkbox,,
typical_day_consume_other_specify,text,,
typical_day_drink_caffeinated_products,radio,,
unexplained_aches,radio,,
unit,dropdown,,
unpleasant_thoughts,radio,,
upset,radio,,
used_drugs,radio,,
used_nicotine_products_in_entire_life,radio,,
used_substance_on_your_own,radio,,
usf_icf_date_en,text,date_ymd,y
usf_icf_date_en_v3,text,date_ymd,y
usf_icf_date_es,text,date_ymd,y
usf_icf_date_es_v3,text,date_ymd,y
usf_icf_date_hipaa_es,text,date_ymd,y
usf_icf_date_hipaa_es_v2,text,date_ymd,y
usf_icf_date_hipaa_es_v3,text,date_ymd,y
usf_icf_hipaa_date_en,text,date_ymd,y
usf_icf_hipaa_date_en_v3,text,date_ymd,y
usf_icf_hipaa_en_p1,descriptive,,
usf_icf_hipaa_en_p1_v3,descriptive,,
usf_icf_hipaa_en_p2,descriptive,,
usf_icf_hipaa_en_p2_v3,descriptive,,
usf_icf_hipaa_en_p3,descriptive,,
usf_icf_hipaa_en_p3_v3,descriptive,,
usf_icf_hipaa_name_en,text,,y
usf_icf_hipaa_name_en_v3,text,,y
usf_icf_hipaa_p1_es,descriptive,,
usf_icf_hipaa_p1_es_v3,descriptive,,
usf_icf_hipaa_p2_es,descriptive,,
usf_icf_hipaa_p2_es_v3,descriptive,,
usf_icf_hipaa_p3_es,descriptive,,
usf_icf_hipaa_p3_es_v3,descriptive,,
usf_icf_hipaa_signature_en,file,signature,y
usf_icf_hipaa_signature_en_v3,file,signature,y
usf_icf_name_en,text,,y
usf_icf_name_en_v3,text,,y
usf_icf_name_es,text,,y
usf_icf_name_es_v3,text,,y
usf_icf_name_hipaa_es,text,,y
usf_icf_name_hipaa_es_v3,text,,y
usf_icf_p1_en,descriptive,,
usf_icf_p1_en_v3,descriptive,,
usf_icf_p1_es,descriptive,,
usf_icf_p1_es_v3,descriptive,,
usf_icf_p2_en,descriptive,,
usf_icf_p2_en_v3,descriptive,,
usf_icf_p2_es,descriptive,,
usf_icf_p2_es_v3,descriptive,,
usf_icf_p3_en,descriptive,,
usf_icf_p3_en_v3,descriptive,,
usf_icf_p3_es,descriptive,,
usf_icf_p3_es_v3,descriptive,,
usf_icf_p4_en,descriptive,,
usf_icf_p4_en_v3,descriptive,,
usf_icf_p4_es,descriptive,,
usf_icf_p4_es_v3,descriptive,,
usf_icf_p5_en,descriptive,,
usf_icf_p5_en_v3,descriptive,,
usf_icf_p5_es,descriptive,,
usf_icf_p5_es_v3,descriptive,,
usf_icf_p6_en,descriptive,,
usf_icf_p6_en_v3,descriptive,,
usf_icf_p6_es,descriptive,,
usf_icf_p6_es_v3,descriptive,,
usf_icf_p7_en,descriptive,,
usf_icf_p7_en_v3,descriptive,,
usf_icf_p7_es,descriptive,,
usf_icf_p7_es_v3,descriptive,,
usf_icf_p8_en,descriptive,,
usf_icf_p8_en_v3,descriptive,,
usf_icf_p8_es,descriptive,,
usf_icf_p8_es_v3,descriptive,,
usf_icf_p9_en_v3,descriptive,,
usf_icf_p9_es,descriptive,,
usf_icf_p9_es_v3,descriptive,,
usf_icf_question_en,radio,,y
usf_icf_question_en_v3,radio,,y
usf_icf_question_es,radio,,y
usf_icf_question_es_v3,radio,,y
usf_icf_signature_en,file,signature,y
usf_icf_signature_en_v3,file,signature,y
usf_icf_signature_es,file,signature,y
usf_icf_signature_es_v3,file,signature,y
usf_icf_signature_hipaa_es,file,signature,y
usf_icf_signature_hipaa_es_v3,file,signature,y
vagal_nerve_stimulator,checkbox,,
velopharyngeal_insufficiency,radio,,
veteran,yesno,,
vfp_bilateral,checkbox,,
vfp_unilateral,checkbox,,
vhi_10_calc_score,calc,,
vhi_completed_at,text,,y
vhi_duration,text,number,
vhi_language,radio,,
vhi_origin,radio,,
vhi_session_id,text,,
vhi_started_at,text,,y
vhi_via,radio,,
vision,radio,,
voc_fold_paralysis,radio,,
vocabulary_completed_at,text,,y
vocabulary_duration,text,,
vocabulary_item_correct_1,radio,,
vocabulary_item_correct_2,radio,,
vocabulary_item_correct_3,radio,,
vocabulary_item_correct_4,radio,,
vocabulary_item_correct_5,radio,,
vocabulary_item_correct_6,radio,,
vocabulary_item_difficulty_1,radio,,
vocabulary_item_difficulty_2,radio,,
vocabulary_item_difficulty_3,radio,,
vocabulary_item_difficulty_4,radio,,
vocabulary_item_difficulty_5,radio,,
vocabulary_item_difficulty_6,radio,,
vocabulary_item_word_1,text,,
vocabulary_item_word_2,text,,
vocabulary_item_word_3,text,,
vocabulary_item_word_4,text,,
vocabulary_item_word_5,text,,
vocabulary_item_word_6,text,,
vocabulary_language,radio,,
vocabulary_origin,radio,,
vocabulary_recording_acoustic_task_id,text,,
vocabulary_session_id,text,,
vocabulary_started_at,text,,y
vocabulary_via,radio,,
vocal_cord_dysfunction,checkbox,,
vocal_fold_hemorrhage,checkbox,,
voice_activity,checkbox,,
voice_activity_v2,checkbox,,
voice_clarity,radio,,
voice_difficult_hear,radio,,
voice_handicapped,radio,,
voice_lose_income,radio,,
voice_perception_completed_at,text,,y
voice_perception_duration,text,number,
voice_perception_language,radio,,
voice_perception_origin,radio,,
voice_perception_session_id,text,,
voice_perception_started_at,text,,y
voice_perception_via,radio,,
voice_quality_perception,radio,,
voice_restrict_social,radio,,
voice_severity_completed_at,text,,y
voice_severity_duration,text,number,
voice_severity_language,radio,,
voice_severity_origin,radio,,
voice_severity_session_id,text,,
voice_severity_started_at,text,,y
voice_severity_via,radio,,
voice_upsetting,radio,,
wcm_consent_date_es_v1,text,date_ymd,y
wcm_consent_name_es_v1,text,,y
wcm_consent_signature_es_v1,file,signature,y
wcm_icf_date_en,text,date_ymd,y
wcm_icf_date_es_v1,text,date_ymd,y
wcm_icf_name_en,text,,y
wcm_icf_name_es_v1,text,,y
wcm_icf_p1_en,descriptive,,
wcm_icf_p1_es_v1,descriptive,,
wcm_icf_p2_en,descriptive,,
wcm_icf_p2_es_v1,descriptive,,
wcm_icf_p3_en,descriptive,,
wcm_icf_p3_es_v1,descriptive,,
wcm_icf_p4_en,descriptive,,
wcm_icf_p4_es_v1,descriptive,,
wcm_icf_p5_en,descriptive,,
wcm_icf_p5_es_v1,descriptive,,
wcm_icf_p6_en,descriptive,,
wcm_icf_p6_es_v1,descriptive,,
wcm_icf_p7_en,descriptive,,
wcm_icf_p7_es_v1,descriptive,,
wcm_icf_p8_en,descriptive,,
wcm_icf_p8_es_v1,descriptive,,
wcm_icf_p9_en,descriptive,,
wcm_icf_p9_es_v1,descriptive,,
wcm_icf_question_en_2,radio,,y
wcm_icf_question_es_v1,radio,,y
wcm_icf_signature_en,file,signature,y
wcm_icf_signature_es_v1,file,signature,y
weight,text,number,
white_race,checkbox,,
winograd_completed_at,text,,y
winograd_duration,text,,
winograd_language,radio,,
winograd_number_questions,text,,
winograd_origin,radio,,
winograd_q_1,radio,,
winograd_q_10,radio,,
winograd_q_100,radio,,
winograd_q_101,radio,,
winograd_q_102,radio,,
winograd_q_103,radio,,
winograd_q_104,radio,,
winograd_q_105,radio,,
winograd_q_106,radio,,
winograd_q_107,radio,,
winograd_q_108,radio,,
winograd_q_109,radio,,
winograd_q_11,radio,,
winograd_q_110,radio,,
winograd_q_111,radio,,
winograd_q_112,radio,,
winograd_q_113,radio,,
winograd_q_114,radio,,
winograd_q_115,radio,,
winograd_q_116,radio,,
winograd_q_117,radio,,
winograd_q_118,radio,,
winograd_q_119,radio,,
winograd_q_12,radio,,
winograd_q_120,radio,,
winograd_q_121,radio,,
winograd_q_122,radio,,
winograd_q_123,radio,,
winograd_q_124,radio,,
winograd_q_125,radio,,
winograd_q_126,radio,,
winograd_q_127,radio,,
winograd_q_128,radio,,
winograd_q_129,radio,,
winograd_q_13,radio,,
winograd_q_130,radio,,
winograd_q_131,radio,,
winograd_q_132,radio,,
winograd_q_133,radio,,
winograd_q_134,radio,,
winograd_q_135,radio,,
winograd_q_136,radio,,
winograd_q_137,radio,,
winograd_q_138,radio,,
winograd_q_139,radio,,
winograd_q_14,radio,,
winograd_q_140,radio,,
winograd_q_141,radio,,
winograd_q_142,radio,,
winograd_q_143,radio,,
winograd_q_144,radio,,
winograd_q_145,radio,,
winograd_q_146,radio,,
winograd_q_147,radio,,
winograd_q_148,radio,,
winograd_q_149,radio,,
winograd_q_15,radio,,
winograd_q_150,radio,,
winograd_q_151,radio,,
winograd_q_152,radio,,
winograd_q_153,radio,,
winograd_q_154,radio,,
winograd_q_155,radio,,
winograd_q_156,radio,,
winograd_q_157,radio,,
winograd_q_158,radio,,
winograd_q_159,radio,,
winograd_q_16,radio,,
winograd_q_160,radio,,
winograd_q_161,radio,,
winograd_q_162,radio,,
winograd_q_163,radio,,
winograd_q_164,radio,,
winograd_q_165,radio,,
winograd_q_166,radio,,
winograd_q_167,radio,,
winograd_q_168,radio,,
winograd_q_169,radio,,
winograd_q_17,radio,,
winograd_q_170,radio,,
winograd_q_171,radio,,
winograd_q_172,radio,,
winograd_q_173,radio,,
winograd_q_174,radio,,
winograd_q_175,radio,,
winograd_q_176,radio,,
winograd_q_177,radio,,
winograd_q_178,radio,,
winograd_q_179,radio,,
winograd_q_18,radio,,
winograd_q_180,radio,,
winograd_q_181,radio,,
winograd_q_182,radio,,
winograd_q_183,radio,,
winograd_q_184,radio,,
winograd_q_185,radio,,
winograd_q_186,radio,,
winograd_q_187,radio,,
winograd_q_188,radio,,
winograd_q_189,radio,,
winograd_q_19,radio,,
winograd_q_190,radio,,
winograd_q_191,radio,,
winograd_q_192,radio,,
winograd_q_193,radio,,
winograd_q_194,radio,,
winograd_q_195,radio,,
winograd_q_196,radio,,
winograd_q_197,radio,,
winograd_q_198,radio,,
winograd_q_199,radio,,
winograd_q_2,radio,,
winograd_q_20,radio,,
winograd_q_200,radio,,
winograd_q_201,radio,,
winograd_q_202,radio,,
winograd_q_203,radio,,
winograd_q_204,radio,,
winograd_q_205,radio,,
winograd_q_206,radio,,
winograd_q_207,radio,,
winograd_q_208,radio,,
winograd_q_209,radio,,
winograd_q_21,radio,,
winograd_q_210,radio,,
winograd_q_211,radio,,
winograd_q_212,radio,,
winograd_q_213,radio,,
winograd_q_214,radio,,
winograd_q_215,radio,,
winograd_q_216,radio,,
winograd_q_217,radio,,
winograd_q_218,radio,,
winograd_q_219,radio,,
winograd_q_22,radio,,
winograd_q_220,radio,,
winograd_q_221,radio,,
winograd_q_222,radio,,
winograd_q_223,radio,,
winograd_q_224,radio,,
winograd_q_225,radio,,
winograd_q_226,radio,,
winograd_q_227,radio,,
winograd_q_228,radio,,
winograd_q_229,radio,,
winograd_q_23,radio,,
winograd_q_230,radio,,
winograd_q_231,radio,,
winograd_q_232,radio,,
winograd_q_233,radio,,
winograd_q_234,radio,,
winograd_q_235,radio,,
winograd_q_236,radio,,
winograd_q_237,radio,,
winograd_q_238,radio,,
winograd_q_239,radio,,
winograd_q_24,radio,,
winograd_q_240,radio,,
winograd_q_241,radio,,
winograd_q_242,radio,,
winograd_q_243,radio,,
winograd_q_244,radio,,
winograd_q_245,radio,,
winograd_q_246,radio,,
winograd_q_247,radio,,
winograd_q_248,radio,,
winograd_q_249,radio,,
winograd_q_25,radio,,
winograd_q_250,radio,,
winograd_q_251,radio,,
winograd_q_252,radio,,
winograd_q_253,radio,,
winograd_q_254,radio,,
winograd_q_255,radio,,
winograd_q_256,radio,,
winograd_q_257,radio,,
winograd_q_258,radio,,
winograd_q_259,radio,,
winograd_q_26,radio,,
winograd_q_260,radio,,
winograd_q_261,radio,,
winograd_q_262,radio,,
winograd_q_263,radio,,
winograd_q_264,radio,,
winograd_q_265,radio,,
winograd_q_266,radio,,
winograd_q_267,radio,,
winograd_q_268,radio,,
winograd_q_269,radio,,
winograd_q_27,radio,,
winograd_q_270,radio,,
winograd_q_271,radio,,
winograd_q_272,radio,,
winograd_q_273,radio,,
winograd_q_274,radio,,
winograd_q_275,radio,,
winograd_q_276,radio,,
winograd_q_28,radio,,
winograd_q_29,radio,,
winograd_q_3,radio,,
winograd_q_30,radio,,
winograd_q_31,radio,,
winograd_q_32,radio,,
winograd_q_33,radio,,
winograd_q_34,radio,,
winograd_q_35,radio,,
winograd_q_36,radio,,
winograd_q_37,radio,,
winograd_q_38,radio,,
winograd_q_39,radio,,
winograd_q_4,radio,,
winograd_q_40,radio,,
winograd_q_41,radio,,
winograd_q_42,radio,,
winograd_q_43,radio,,
winograd_q_44,radio,,
winograd_q_45,radio,,
winograd_q_46,radio,,
winograd_q_47,radio,,
winograd_q_48,radio,,
winograd_q_49,radio,,
winograd_q_5,radio,,
winograd_q_50,radio,,
winograd_q_51,radio,,
winograd_q_52,radio,,
winograd_q_53,radio,,
winograd_q_54,radio,,
winograd_q_55,radio,,
winograd_q_56,radio,,
winograd_q_57,radio,,
winograd_q_58,radio,,
winograd_q_59,radio,,
winograd_q_6,radio,,
winograd_q_60,radio,,
winograd_q_61,radio,,
winograd_q_62,radio,,
winograd_q_63,radio,,
winograd_q_64,radio,,
winograd_q_65,radio,,
winograd_q_66,radio,,
winograd_q_67,radio,,
winograd_q_68,radio,,
winograd_q_69,radio,,
winograd_q_7,radio,,
winograd_q_70,radio,,
winograd_q_71,radio,,
winograd_q_72,radio,,
winograd_q_73,radio,,
winograd_q_74,radio,,
winograd_q_75,radio,,
winograd_q_76,radio,,
winograd_q_77,radio,,
winograd_q_78,radio,,
winograd_q_79,radio,,
winograd_q_8,radio,,
winograd_q_80,radio,,
winograd_q_81,radio,,
winograd_q_82,radio,,
winograd_q_83,radio,,
winograd_q_84,radio,,
winograd_q_85,radio,,
winograd_q_86,radio,,
winograd_q_87,radio,,
winograd_q_88,radio,,
winograd_q_89,radio,,
winograd_q_9,radio,,
winograd_q_90,radio,,
winograd_q_91,radio,,
winograd_q_92,radio,,
winograd_q_93,radio,,
winograd_q_94,radio,,
winograd_q_95,radio,,
winograd_q_96,radio,,
winograd_q_97,radio,,
winograd_q_98,radio,,
winograd_q_99,radio,,
winograd_questions_asked,text,,
winograd_score,text,,
winograd_session_id,text,,
winograd_started_at,text,,y
winograd_via,radio,,
withdrawn_consent_date,text,date_mdy,y
withdrawn_consent_reason,text,,y
worried,radio,,
worry_too_much,radio,,
wrapping_up,radio,,
years_used_nicotine,radio,,
zipcode,text,,y
