variable,field_type,validation,identifier
diagnosis_alz_dementia_mci_etiology,checkbox,,
diagnosis_alz_dementia_mci_etiology_gf,checkbox,,
diagnosis_alz_dementia_mci_etiology_gf_other,text,,
diagnosis_alz_dementia_mci_etiology_other,text,,
diagnosis_alz_dementia_mci_etiology_other_medical_conditions,text,,
diagnosis_alz_dementia_mci_gsd,radio,,
diagnosis_alz_dementia_mci_gsd_clinical_history,text,,
diagnosis_alz_dementia_mci_gsd_cognitive_testing,text,,
diagnosis_alz_dementia_mci_gsd_confirmation_method,checkbox,,
diagnosis_alz_dementia_mci_gsd_confirmation_method_other,text,,
diagnosis_alz_dementia_mci_gsd_functional_inventory,text,,
diagnosis_alz_dementia_mci_gsd_other_investigations,text,,
diagnosis_alz_dementia_mci_treatment_obtained,radio,,
diagnosis_alz_dementia_mci_treatment_obtained_yes,checkbox,,
diagnosis_alz_dementia_mci_treatment_obtained_yes_medications,checkbox,,
diagnosis_alz_dementia_mci_treatment_obtained_yes_medications_other,text,,
diagnosis_alz_dementia_mci_treatment_obtained_yes_npi,checkbox,,
diagnosis_alz_dementia_mci_treatment_obtained_yes_npi_other,text,,
diagnosis_as_as,radio,,
diagnosis_as_as_c,radio,,
diagnosis_as_as_s,radio,,
diagnosis_as_ds,radio,,
diagnosis_as_ds_ac,radio,,
diagnosis_as_ds_ac_grade_4,radio,,
diagnosis_as_ds_ac_ref,descriptive,,
diagnosis_as_ds_agw,radio,,
diagnosis_as_ds_bc,radio,,
diagnosis_as_ds_bc_ref,descriptive,,
diagnosis_as_ds_bvfi_gs,radio,,
diagnosis_as_ds_bvfi_gs_other,text,,
diagnosis_as_ds_cc_ref,descriptive,,
diagnosis_as_ds_ccsr,radio,,
diagnosis_as_ds_eps,slider,number,
diagnosis_as_ds_mcg,radio,,
diagnosis_as_ds_mcg_ref,descriptive,,
diagnosis_as_ds_mluas,notes,,
diagnosis_as_ds_ods,radio,,
diagnosis_as_etiology,radio,,
diagnosis_as_etiology_auto_immune,radio,,
diagnosis_as_etiology_other,text,,
diagnosis_as_gsd,radio,,
diagnosis_as_gsd_yes,checkbox,,
diagnosis_as_pft,radio,,
diagnosis_as_pft_document,file,,
diagnosis_as_treatment,checkbox,,
diagnosis_as_treatment_in_office,checkbox,,
diagnosis_as_treatment_surgery,checkbox,,
diagnosis_as_treatment_surgery_other,text,,
diagnosis_bipolar_active_problems,text,,
diagnosis_bipolar_active_problems_depression,text,,
diagnosis_bipolar_current_med_therapies,text,,
diagnosis_bipolar_current_med_therapies_depression,text,,
diagnosis_bipolar_etiology,text,,
diagnosis_bipolar_etiology_depression,text,,
diagnosis_bipolar_former_med_therapies,text,,
diagnosis_bipolar_former_med_therapies_depression,text,,
diagnosis_bipolar_gsd,radio,,
diagnosis_bipolar_gsd_interview,yesno,,
diagnosis_bipolar_gsd_oqu,yesno,,
diagnosis_bipolar_gsd_oqu_other,text,,
diagnosis_bipolar_gsd_oquw,radio,,
diagnosis_bipolar_history_problems,text,,
diagnosis_bipolar_history_problems_depression,text,,
diagnosis_bipolar_psychotic,radio,,
diagnosis_bipolar_psychotic_depression,radio,,
diagnosis_bipolar_severity,radio,,
diagnosis_bipolar_severity_depression,radio,,
diagnosis_bipolar_subtype_active,radio,,
diagnosis_bipolar_subtype_active_depression,radio,,
diagnosis_bl_degree_b_1,slider,number,
diagnosis_bl_degree_b_2,radio,,
diagnosis_bl_degree_comments,radio,,
diagnosis_bl_degree_comments_other,text,,
diagnosis_bl_degree_comments_other_2,text,,
diagnosis_bl_degree_l_1,slider,number,
diagnosis_bl_degree_l_2,radio,,
diagnosis_bl_degree_l_nature,text,,
diagnosis_bl_degree_legend,descriptive,,
diagnosis_bl_degree_os_1,slider,number,
diagnosis_bl_degree_os_2,radio,,
diagnosis_bl_degree_p_1,slider,number,
diagnosis_bl_degree_p_2,radio,,
diagnosis_bl_degree_p_nature,text,,
diagnosis_bl_degree_r_1,slider,number,
diagnosis_bl_degree_r_2,radio,,
diagnosis_bl_degree_s_1,slider,number,
diagnosis_bl_degree_s_2,radio,,
diagnosis_bl_degree_text,descriptive,,
diagnosis_bl_ds,radio,,
diagnosis_bl_ds_ll,radio,,
diagnosis_bl_ds_other,text,,
diagnosis_bl_etiology,radio,,
diagnosis_bl_etiology_other,text,,
diagnosis_bl_treatment,radio,,
diagnosis_bl_treatment_lm,radio,,
diagnosis_bl_treatment_other,text,,
diagnosis_bl_treatment_select,checkbox,,
diagnosis_c_ac,radio,,
diagnosis_c_ac_specified,text,,
diagnosis_ca_10_pack_year_tobacco_cigarette,radio,,
diagnosis_ca_absolute_eosinophil_count,text,number,
diagnosis_ca_act_score,radio,,
diagnosis_ca_asthma,radio,,
diagnosis_ca_asthma_has_subtype,radio,,
diagnosis_ca_asthma_probability,radio,,
diagnosis_ca_asthma_subtype,checkbox,,
diagnosis_ca_asthma_subtype_other,text,,
diagnosis_ca_ats_ers_criteria_fev1,radio,,
diagnosis_ca_ats_ers_criteria_fvc,radio,,
diagnosis_ca_cat_score,text,integer,
diagnosis_ca_copd,radio,,
diagnosis_ca_copd_asthma,radio,,
diagnosis_ca_copd_subtype,checkbox,,
diagnosis_ca_current_smoker,radio,,
diagnosis_ca_environmental_allergy_history,radio,,
diagnosis_ca_feno_value,text,number,
diagnosis_ca_feno_within_12_months,radio,,
diagnosis_ca_fev1,slider,number,
